original_isbn,img,price,url,provider
067056172X,https://lzd-img-global.slatic.net/g/p/ef3e4b5d7f48586238cbf936f20fb960.jpg_200x200q80.jpg_.webp,26.43,https:////www.lazada.sg/products/2023-corduroy-girls-small-with-multiple-pockets-for-leisure-student-travel-backpack-solid-color-simple-book-bag-backpacks-i2941258629.html,Lazada
067084487X,https://lzd-img-global.slatic.net/g/p/6288883f6577e8dfab302ca2f032d14e.jpg_200x200q80.jpg_.webp,29.40,https:////www.lazada.sg/products/the-stinky-cheese-man-and-other-fairly-stupid-tales-childrens-enlightenment-paperback-picture-book-3-6-years-old-i2885805693.html,Lazada
067976397X,https://lzd-img-global.slatic.net/g/p/99e3bf6bdab4eff79427feb83862239e.jpg_200x200q80.jpg_.webp,25.71,https:////www.lazada.sg/products/level-6-captain-corellis-mandolin-by-louis-de-bernieres-uk-edition-paperback-i2230230414.html,Lazada
068480154X,https://lzd-img-global.slatic.net/g/p/37c6f40cb8d90b8c1ddfa08156ee3d74.jpg_200x200q80.jpg_.webp,33.09,https:////www.lazada.sg/products/tender-is-the-night-by-f-scott-fitzgerald-us-edition-paperback-i2239371364.html,Lazada
068484477X,https://lzd-img-global.slatic.net/g/p/7eefd599ed064b286f57d801e7cf002f.jpg_200x200q80.jpg_.webp,38.90,https:////www.lazada.sg/products/river-of-stone-river-of-sand-by-stephen-c-joseph-us-edition-paperback-i2242697721.html,Lazada
072325804X,https://lzd-img-global.slatic.net/g/p/1b3449d3a6c333dd3b3609e806044c3b.jpg_200x200q80.jpg_.webp,24.78,https:////www.lazada.sg/products/the-complete-tales-of-beatrix-potters-peter-rabbit-contains-the-tale-of-pet-by-beatrix-potter-uk-edition-hardcover-i2228116793.html,Lazada
073380084X,https://lzd-img-global.slatic.net/g/p/ffe834c088b9745198ec68a71c7933f9.jpg_200x200q80.jpg_.webp,18.00,https:////www.lazada.sg/products/dont-sweat-the-small-stuff-and-its-all-small-stuff-by-richard-carlson-i2871823597.html,Lazada
074326195X,https://lzd-img-global.slatic.net/g/p/0a766698e4fc769628774ece084115a6.png_200x200q80.png_.webp,29.34,https:////www.lazada.sg/products/milu-cry-the-beloved-country-original-english-books-i2797220948.html,Lazada
074348486X,https://lzd-img-global.slatic.net/g/p/71f65d6baa72ee55cc24655c06c09003.jpg_200x200q80.jpg_.webp,14.84,https:////www.lazada.sg/products/spray-pen-art-roarsome-dinosaurs-imagine-that-children-crafts-creativity-thinking-discovering-imagination-plushies-do-it-yourself-activity-kit-toy-set-entertainment-by-round-kids-marketing-i1590046884.html,Lazada
076790382X,https://lzd-img-global.slatic.net/g/p/55ce0455fd9c99cf26171c0ab9bc7fd1.jpg_200x200q80.jpg_.webp,27.59,https:////www.lazada.sg/products/milu-notes-from-a-big-country-bill-bryson-original-english-books-i2980941327.html,Lazada
078670621X,https://lzd-img-global.slatic.net/g/p/08d0c5cbcebeebbf46bc0e440af113bf.png_200x200q80.png_.webp,5.22,https:////www.lazada.sg/products/sg-instock-dunlop-original-ultex-standard-guitar-picks-acoustic-classical-electric-guitar-bass-ukulele-widest-dynamic-range-high-volume-brightness-crystal-clear-tones-and-incredible-durability-john-petrucci-060-073-10-thin-medium-heavy-i1332804068.html,Lazada
078681859X,https://lzd-img-global.slatic.net/g/p/a122662c8ba33d7ecbab1137e1dfbfa0.jpg_200x200q80.jpg_.webp,21.06,https:////www.lazada.sg/products/the-amulet-of-samarkand-by-jonathan-stroud-uk-edition-paperback-i2231450140.html,Lazada
078684907X,https://lzd-img-global.slatic.net/g/p/5abf7aa12947309a1330383ee2706b52.jpg_200x200q80.jpg_.webp,22.11,https:////www.lazada.sg/products/peter-and-the-starcatchers-peter-and-the-starcatchers-book-one-by-ridley-pearson-us-edition-paperback-i2228091040.html,Lazada
080508049X,https://lzd-img-global.slatic.net/g/p/f12fa5fa724f413056c05689bfca0ae0.jpg_200x200q80.jpg_.webp,15.82,https:////www.lazada.sg/products/the-black-cauldron-by-lloyd-alexander-us-edition-paperback-i2227933838.html,Lazada
081297235X,https://lzd-img-global.slatic.net/g/p/5c5c51e033ac836046afa1f160955472.jpg_200x200q80.jpg_.webp,10.30,https:////www.lazada.sg/products/prep-course-for-young-beginner-notespeller-book-level-d-level-e-level-f-i2448825097.html,Lazada
081299860X,https://lzd-img-global.slatic.net/g/p/08145ce917170d1609898e458a5d03f4.jpg_200x200q80.jpg_.webp,24.60,https:////www.lazada.sg/products/babys-book-the-baby-bible-storybook-for-girls-the-baby-bible-series-i2366114037.html,Lazada
096319254X,https://lzd-img-global.slatic.net/g/p/5c652b6d1a8751ca9cd633ef91a86667.jpg_200x200q80.jpg_.webp,19.30,https:////www.lazada.sg/products/milumilu-the-vampire-chronicles-5-memnoch-the-devil-5-original-english-literary-novels-books-i2717858360.html,Lazada
1101875046,https://lzd-img-global.slatic.net/g/p/6b0ca650b76da8170087fc5f23a4c319.jpg_200x200q80.jpg_.webp,56.01,https:////www.lazada.sg/products/in-the-unlikely-event-by-anthony-harden-us-edition-paperback-i2240561222.html,Lazada
1101904224,https://lzd-img-global.slatic.net/g/p/69bac747f1d9ba28e597cbb3b8b4ed4b.jpg_200x200q80.jpg_.webp,19.59,https:////www.lazada.sg/products/dark-matter-evolution-book-3-by-teri-terry-uk-edition-paperback-i2228113163.html,Lazada
1101946342,https://lzd-img-global.slatic.net/g/p/c62e569aa6068bcdc0ac7be9ff0eec81.jpg_200x200q80.jpg_.webp,12.00,https:////www.lazada.sg/products/e-book-fifty-shades-of-grey-complete-book-i573328304.html,Lazada
1250049555,https://lzd-img-global.slatic.net/g/p/8ac1648d1d9520a42d49612892e6a4ac.jpg_200x200q80.jpg_.webp,19.86,https:////www.lazada.sg/products/10214-156-inch-slgol-macbook-promacbook-air-sleeve-case-cover-protective-bag-surface-book-carrying-sleeve-bag-for-most-for-14-156-inch-laptop-bag-apple-multi-function-tablet-bag-casual-laptop-case-i2974347011.html,Lazada
1250069793,https://lzd-img-global.slatic.net/g/p/65d75935f1275e19bedcd7f72f955230.jpg_200x200q80.jpg_.webp,34.19,https:////www.lazada.sg/products/truly-madly-guilty-by-liane-moriarty-us-edition-paperback-i2227227489.html,Lazada
1250077001,https://lzd-img-global.slatic.net/g/p/2d69e475e16fa0d3f41db0b5c48a06c0.jpg_200x200q80.jpg_.webp,15.00,https:////www.lazada.sg/products/p6-essential-problem-solving-skills-i2255261039.html,Lazada
1301347949,https://lzd-img-global.slatic.net/g/p/4aa3080aa4268e05b39dd515f035ebe6.jpg_200x200q80.jpg_.webp,29.24,https:////www.lazada.sg/products/fantastic-cities-a-coloring-book-of-amazing-places-real-and-imagined-by-steve-mcdonald-us-edition-paperback-i1990767602.html,Lazada
1400032814,https://lzd-img-global.slatic.net/g/p/128a15d4a2bd7c2f56552d9a04b89b50.png_200x200q80.png_.webp,5.38,https:////www.lazada.sg/products/thick-a5-leather-notebook-planner-notepad-journal-business-note-books-diary-log-school-office-supplies-i2748117916.html,Lazada
1400032822,https://lzd-img-global.slatic.net/g/p/ab4c4e5dc4a8ef6551131ea4f3bc46d8.jpg_200x200q80.jpg_.webp,83.85,https:////www.lazada.sg/products/ghosts-of-yorkshire-three-novels-plus-a-bonus-short-story-the-haunting-of-th-by-karen-perkins-uk-edition-paperback-i2239627349.html,Lazada
140003342X,https://lzd-img-global.slatic.net/g/p/f46fd7ef2e41aae573507ae85be1ed29.jpg_200x200q80.jpg_.webp,30.41,https:////www.lazada.sg/products/song-of-solomon-by-toni-morrison-us-edition-paperback-i2231376198.html,Lazada
1400033837,https://lzd-img-global.slatic.net/g/p/af91d7714433458b59dd9bdae8804576.jpg_200x200q80.jpg_.webp,30.64,https:////www.lazada.sg/products/milu-a-thousand-acres-original-english-books-i2799983996.html,Lazada
1400043468,https://lzd-img-global.slatic.net/g/p/9c54f954b097f58af9a33fd4c7ddbc85.jpg_200x200q80.jpg_.webp,32.10,https:////www.lazada.sg/products/my-life-in-france-by-julia-child-us-edition-paperback-i2238836474.html,Lazada
1400049628,https://lzd-img-global.slatic.net/g/p/cbbf88ca94bee18f192d2b960360c79f.jpg_200x200q80.jpg_.webp,8.90,https:////www.lazada.sg/products/primary-maths-handbook-2-i1952415072.html,Lazada
1400063736,https://lzd-img-global.slatic.net/g/p/5906a617c44139bdda16bd04291724bb.jpg_200x200q80.jpg_.webp,25.00,https:////www.lazada.sg/products/let-the-great-world-spin-1-i2738502592.html,Lazada
1400063973,https://lzd-img-global.slatic.net/g/p/1d4d41d5cd54ecb08b3a478fe976223a.jpg_200x200q80.jpg_.webp,32.30,https:////www.lazada.sg/products/the-witness-wore-red-the-19th-wife-who-helped-to-bring-down-a-polygamous-cul-by-rebecca-musser-us-edition-paperback-i2227334988.html,Lazada
1400065674,https://lzd-img-global.slatic.net/g/p/bee6d9ad96eaf40d02708e8549fcd546.jpg_200x200q80.jpg_.webp,13.45,https:////www.lazada.sg/products/the-power-of-a-praying-r-wife-book-of-prayers-by-stormie-omartian-us-edition-paperback-i2173254347.html,Lazada
1400067553,https://lzd-img-global.slatic.net/g/p/1412ec0c26c8ff5728321afb6e792be9.jpg_200x200q80.jpg_.webp,12.34,https:////www.lazada.sg/products/behind-the-beautiful-forevers-life-death-and-hope-in-a-mumbai-undercity-physical-english-version-i2948344118.html,Lazada
1400067693,https://lzd-img-global.slatic.net/g/p/529ff6a9ebbcdd31bd2f4d622d81a20d.jpg_200x200q80.jpg_.webp,149.00,https:////www.lazada.sg/products/etutorstar-beginner-pack-1-preschool-primary-1-singapore-syllabus-i712720058.html,Lazada
140006788X,https://lzd-img-global.slatic.net/g/p/e5a62e9b97dbe1a9f815e698f590582f.jpg_200x200q80.jpg_.webp,23.00,https:////www.lazada.sg/products/magic-torch-books-goodnight-monkey-magic-flashlight-good-night-monkey-paperboard-book-english-original-perspective-picture-book-picture-book-with-film-puzzle-toy-book-3-6-years-old-i2479211353.html,Lazada
1400068320,https://lzd-img-global.slatic.net/g/p/8100bc1fcd6edd5b1d7a7e8a070393fa.jpg_200x200q80.jpg_.webp,11.20,https:////www.lazada.sg/products/eligible-the-austen-project-4-by-curtis-sittenfeld-uk-edition-paperback-i2013808849.html,Lazada
1400076196,https://lzd-img-global.slatic.net/g/p/ee13db1e14d18eef864c8545918873f2.jpg_200x200q80.jpg_.webp,13.28,https:////www.lazada.sg/products/fancy-nancy-saturday-night-sleepover-by-jane-oconnor-uk-edition-paperback-i2229266410.html,Lazada
140042520,https://lzd-img-global.slatic.net/g/p/c497f1771ceb5dde72979c5dfa7f1db6.jpg_200x200q80.jpg_.webp,7.39,https:////www.lazada.sg/products/the-dharma-bums-by-jack-kerouac-english-novels-classic-literature-books-reading-material-for-adults-i1674143092.html,Lazada
